depfiles/1and1__ioc-unit__38__pom.xml,1and1/ioc-unit,/examples2/rest/minimal-rest-dto-jackson/pom.xml,maven
depfiles/1and1__ioc-unit__39__pom.xml,1and1/ioc-unit,/examples2/rest/rest-dto-polymorphy/pom.xml,maven
depfiles/1and1__ioc-unit__40__pom.xml,1and1/ioc-unit,/examples2/ex1-1entity/pom.xml,maven
depfiles/1and1__ioc-unit__41__pom.xml,1and1/ioc-unit,/examples2/ex1-1entity-el/pom.xml,maven
depfiles/1and1__ioc-unit__42__pom.xml,1and1/ioc-unit,/examples2/ex1-1entity-hb/pom.xml,maven
depfiles/1and1__ioc-unit__43__pom.xml,1and1/ioc-unit,/examples2/ex1-1entity5/pom.xml,maven
depfiles/1and1__ioc-unit__44__pom.xml,1and1/ioc-unit,/examples2/ex1-2entity4220b_5/pom.xml,maven
depfiles/1and1__ioc-unit__45__pom.xml,1and1/ioc-unit,/examples2/ex2-syncconsumed/pom.xml,maven
depfiles/1and1__ioc-unit__46__pom.xml,1and1/ioc-unit,/examples2/ex3-asyncconsumedpoll/pom.xml,maven
depfiles/1and1__ioc-unit__47__pom.xml,1and1/ioc-unit,/examples2/ex4-asyncconsumedpush/pom.xml,maven
depfiles/1and1__ioc-unit__48__pom.xml,1and1/ioc-unit,/examples2/mockito-example/pom.xml,maven
depfiles/1and1__ioc-unit__49__pom.xml,1and1/ioc-unit,/examples2/jms/pom.xml,maven
depfiles/1and1__ioc-unit__50__pom.xml,1and1/ioc-unit,/examples2/jms/exjms1-amqp-rabbitmq/pom.xml,maven
depfiles/1and1__ioc-unit__51__pom.xml,1and1/ioc-unit,/examples2/jms/ex5-asyncconsumedjms1/pom.xml,maven
depfiles/1and1__ioc-unit__52__pom.xml,1and1/ioc-unit,/examples2/jms/ex6-asyncconsumedjms2/pom.xml,maven
depfiles/1and1__ioc-unit__53__pom.xml,1and1/ioc-unit,/testing/ioc-unit-test-war/pom.xml,maven
depfiles/1and1__ioc-unit__54__pom.xml,1and1/ioc-unit,/testing/ioc-unit-arq/pom.xml,maven
depfiles/1and1__ioc-unit__55__pom.xml,1and1/ioc-unit,/testing/ioc-unit-tests/pom.xml,maven
depfiles/1and1__ioc-unit__56__pom.xml,1and1/ioc-unit,/testing/ioc-unit-contexts-tests/pom.xml,maven
depfiles/1and1__ioc-unit__57__pom.xml,1and1/ioc-unit,/testing/ioc-unit-tests5/pom.xml,maven
depfiles/1and1__ioc-unit__58__pom.xml,1and1/ioc-unit,/testing/purecdi-tests/pom.xml,maven
depfiles/1and1__spock-order-extension__0__pom.xml,1and1/spock-order-extension,/pom.xml,maven
depfiles/24liveblog__24liveblog-Android-SDK__0__build.gradle,24liveblog/24liveblog-Android-SDK,/build.gradle,gradle
depfiles/24liveblog__24liveblog-Android-SDK__1__build.gradle,24liveblog/24liveblog-Android-SDK,/sample/build.gradle,gradle
depfiles/2iq__aws-maven__0__pom.xml,2iq/aws-maven,/pom.xml,maven
depfiles/3DRaven__pairwise-tree-generator__0__pom.xml,3DRaven/pairwise-tree-generator,/pom.xml,maven
depfiles/3DRaven__pairwiser__0__pom.xml,3DRaven/pairwiser,/pom.xml,maven
depfiles/3redronin__mu-server__0__pom.xml,3redronin/mu-server,/pom.xml,maven
depfiles/3redronin__murp__0__pom.xml,3redronin/murp,/pom.xml,maven
depfiles/42BV__beanmapper-spring__0__pom.xml,42BV/beanmapper-spring,/pom.xml,maven
depfiles/42BV__spring-boot-starter-csv__0__pom.xml,42BV/spring-boot-starter-csv,/pom.xml,maven
depfiles/42Crunch__cicd-core-java__0__pom.xml,42Crunch/cicd-core-java,/pom.xml,maven
depfiles/42Crunch__JSON-java__0__pom.xml,42Crunch/JSON-java,/pom.xml,maven
depfiles/42Crunch__openapi-bundler-java__0__pom.xml,42Crunch/openapi-bundler-java,/pom.xml,maven
depfiles/51Degrees__device-detection-java__0__pom.xml,51Degrees/device-detection-java,/pom.xml,maven
depfiles/51Degrees__device-detection-java__1__pom.xml,51Degrees/device-detection-java,/device-detection.shared/pom.xml,maven
depfiles/51Degrees__device-detection-java__2__pom.xml,51Degrees/device-detection-java,/device-detection.hash.engine.on-premise/pom.xml,maven
depfiles/51Degrees__device-detection-java__3__pom.xml,51Degrees/device-detection-java,/device-detection.cloud/pom.xml,maven
depfiles/51Degrees__device-detection-java__4__pom.xml,51Degrees/device-detection-java,/device-detection/pom.xml,maven
depfiles/51Degrees__device-detection-java__5__pom.xml,51Degrees/device-detection-java,/device-detection.examples/pom.xml,maven
depfiles/51Degrees__device-detection-java__6__pom.xml,51Degrees/device-detection-java,/web/pipeline.web.examples.servlet/pom.xml,maven
depfiles/51Degrees__device-detection-java__7__pom.xml,51Degrees/device-detection-java,/web/pipeline.web.examples.mvc/pom.xml,maven
depfiles/51Degrees__location-java__0__pom.xml,51Degrees/location-java,/pom.xml,maven
depfiles/51Degrees__location-java__1__pom.xml,51Degrees/location-java,/geo-location.core/pom.xml,maven
